Date,Description,Billing amount,Billing currency,Balance,Balance currency
30/12/2024,CASH REBATE 5489         CREDIT AS ADVISED,"0.98",HKD,"1,414.24",HKD
30/12/2024,POS MDC   (29DEC24)P     BEP CT,"-246.00",HKD,"1,413.26",HKD
29/12/2024,POS TSUI WAH RESTAURANT  (28DEC24),"-142.00",HKD,"1,659.26",HKD
29/12/2024,POS WELLCOME SUPERMARK   (28DEC24),"-89.90",HKD,"1,701.26",HKD
28/12/2024,CREDIT INTEREST,"0.18",HKD,"1,791.16",HKD
28/12/2024,POS CAFE DE CORAL TST    (27DEC24),"-55.00",HKD,"1,790.98",HKD
27/12/2024,POS SUPERMARKET EXPRESS  (26DEC24),"-125.50",HKD,"1,845.98",HKD
27/12/2024,POS CIRCLE K CENTRAL     (26DEC24),"-32.50",HKD,"1,971.48",HKD
26/12/2024,ATM WITHDRAWAL HSBC TST  (26DEC24),"-500.00",HKD,"2,003.98",HKD
26/12/2024,POS OCTOPUS ADD VALUE    (25DEC24),"-200.00",HKD,"2,503.98",HKD
25/12/2024,POS AEON WANCHAI         (24DEC24),"-178.60",HKD,"2,703.98",HKD
25/12/2024,POS TAI HING JORDAN      (24DEC24),"-88.00",HKD,"2,882.58",HKD
24/12/2024,SALARY PAYMENT,"15,000.00",HKD,"2,970.58",HKD
23/12/2024,POS FAIRWOOD CENTRAL     (22DEC24),"-92.00",HKD,"2,882.58",HKD
23/12/2024,POS PACIFIC COFFEE       (22DEC24),"-42.00",HKD,"2,974.58",HKD
22/12/2024,POS YOSHINOYA TST        (21DEC24),"-48.00",HKD,"3,016.58",HKD
22/12/2024,POS CITY SUPER           (21DEC24),"-156.80",HKD,"3,064.58",HKD
21/12/2024,POS VANGO JORDAN         (20DEC24),"-128.50",HKD,"3,221.38",HKD
21/12/2024,POS SOGO CAUSEWAY        (20DEC24),"-234.60",HKD,"3,249.88",HKD
20/12/2024,ATM WITHDRAWAL HSBC TST  (20DEC24),"-1000.00",HKD,"3,484.48",HKD
20/12/2024,POS LUCULLUS CENTRAL     (19DEC24),"-242.00",HKD,"4,484.48",HKD
19/12/2024,POS OCTOPUS ADD VALUE    (18DEC24),"-500.00",HKD,"4,526.48",HKD
19/12/2024,POS MAXIM'S JORDAN       (18DEC24),"-88.00",HKD,"5,026.48",HKD
18/12/2024,POS KFC TST              (17DEC24),"-55.00",HKD,"5,114.48",HKD
18/12/2024,POS TASTE SUPERMARK      (17DEC24),"-167.90",HKD,"5,169.48",HKD
17/12/2024,POS FAMILY MART          (16DEC24),"-42.50",HKD,"5,337.38",HKD
17/12/2024,POS MANNINGS WANCHAI     (16DEC24),"-198.60",HKD,"5,379.88",HKD
16/12/2024,ATM WITHDRAWAL HSBC TST  (16DEC24),"-500.00",HKD,"5,578.48",HKD
16/12/2024,POS CRYSTAL JADE         (15DEC24),"-242.00",HKD,"6,078.48",HKD
15/12/2024,POS OCTOPUS ADD VALUE    (14DEC24),"-200.00",HKD,"6,120.48",HKD
15/12/2024,POS CURRY HOUSE          (14DEC24),"-95.00",HKD,"6,320.48",HKD
14/12/2024,POS SUBWAY TST           (13DEC24),"-62.00",HKD,"6,415.48",HKD
14/12/2024,POS MARKET PLACE         (13DEC24),"-145.70",HKD,"6,477.48",HKD
13/12/2024,POS LAWSONS              (12DEC24),"-38.50",HKD,"6,623.18",HKD
13/12/2024,POS WATSONS WANCHAI      (12DEC24),"-267.80",HKD,"6,661.68",HKD
12/12/2024,ATM WITHDRAWAL HSBC TST  (12DEC24),"-1000.00",HKD,"6,929.48",HKD
